Board,Winner
X,O,X,O,O,X,X,X,O,Draw
O,O,X,X,X,O,O,X,O,Draw
O,X, ,O,O,X,X, ,O,O
O,O,X,X,X,O,O,X,O,Draw
O,X,X,O,X, ,O, , ,O
O,O,X,X,X,O,O,X,X,Draw
